City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Petrolina,BR,-9.4,-40.5,86.0,40,53,12.75,broken clouds
179,Upata,VE,8.01,-62.4,82.99,76,6,3.74,clear sky
180,Waipawa,NZ,-41.41,175.52,62.6,67,89,23.04,overcast clouds
181,Saskylakh,RU,71.92,114.08,22.82,97,87,4.52,light snow
182,Tvoroyri,FO,61.56,-6.81,39.2,80,5,4.7,clear sky
183,Cabo San Lucas,MX,22.89,-109.91,86.0,58,5,6.93,clear sky
184,San Lorenzo De El Escorial,ES,40.59,-4.15,64.99,47,100,8.46,overcast clouds
185,Waycross,US,31.21,-82.35,71.6,64,90,5.82,overcast clouds
186,Lebu,CL,-37.62,-73.65,49.68,75,2,15.08,clear sky
187,Havre-Saint-Pierre,CA,50.23,-63.6,42.8,93,90,5.82,light rain
188,Boueni,YT,-12.9,45.08,73.4,88,56,1.12,broken clouds
189,Quelimane,MZ,-17.88,36.89,68.99,96,10,3.04,clear sky
190,Shakawe,BW,-18.37,21.85,68.99,23,0,4.12,clear sky
191,Villa Bruzual,VE,9.33,-69.12,75.38,92,91,0.78,overcast clouds
192,Sola,VU,-13.88,167.55,86.0,70,90,4.7,overcast clouds
193,Avera,US,33.19,-82.53,66.2,88,1,3.36,clear sky
194,Arlit,NE,18.74,7.39,86.04,13,0,9.1,clear sky
195,Tasiilaq,GL,65.61,-37.64,30.2,92,72,9.17,mist
196,Paita,PE,-5.09,-81.11,63.46,87,9,11.83,clear sky
197,Saint-Pierre,RE,-21.34,55.48,69.8,60,0,4.7,clear sky
198,Sur,OM,22.57,59.53,77.99,53,19,10.87,few clouds
199,Victoria,HK,22.29,114.16,77.0,68,0,8.14,clear sky
200,Okhotsk,RU,59.38,143.3,25.48,78,12,22.77,few clouds
201,Samarai,PG,-10.62,150.67,81.55,79,16,7.36,light rain
202,Saldanha,ZA,-33.01,17.94,53.6,76,89,2.24,overcast clouds
203,Caravelas,BR,-17.71,-39.25,72.41,85,100,3.42,overcast clouds
204,Westport,US,41.14,-73.36,60.8,72,1,6.93,clear sky
205,Balarampur,IN,23.12,86.22,75.2,88,10,3.0,mist
206,Afsin,TR,38.25,36.91,47.14,77,1,0.65,clear sky
207,Corn Island,NI,12.17,-83.04,83.52,79,100,12.8,overcast clouds
208,Smirnykh,RU,49.75,142.83,39.22,69,0,4.5,clear sky
209,Ucluelet,CA,48.93,-125.55,54.0,81,20,11.41,few clouds
210,Narsaq,GL,60.92,-46.05,33.8,84,97,3.36,overcast clouds
211,Machachi,EC,-0.5,-78.57,53.6,93,75,2.24,broken clouds
212,Kishi,NG,9.08,3.85,73.0,90,100,4.83,overcast clouds
213,Ponta Do Sol,PT,32.67,-17.1,68.0,94,75,13.87,light rain
214,Soubre,CI,5.79,-6.61,71.28,98,45,1.92,scattered clouds
215,Mimongo,GA,-1.62,11.61,70.27,95,100,4.99,moderate rain
216,Am Timan,TD,11.03,20.28,74.8,47,9,3.67,clear sky
217,Luau,AO,-10.71,22.22,68.41,57,78,3.09,broken clouds
218,Kaliyaganj,IN,25.63,88.32,78.94,65,19,3.0,few clouds
219,Sisimiut,GL,66.94,-53.67,35.49,86,100,16.26,light rain
220,Upernavik,GL,72.79,-56.15,32.43,95,100,4.54,overcast clouds
221,Yining,CN,29.04,114.56,60.13,75,89,2.37,overcast clouds
222,Salinas,US,36.68,-121.66,66.99,82,1,12.75,clear sky
223,Betong,TH,5.77,101.07,81.86,77,22,1.12,few clouds
224,Havelock,US,34.88,-76.9,68.0,82,75,6.93,broken clouds
225,Nhulunbuy,AU,-12.23,136.77,87.8,52,20,13.87,few clouds
226,Nerchinskiy Zavod,RU,51.31,119.61,41.31,66,100,4.5,overcast clouds
227,Bathsheba,BB,13.22,-59.52,82.4,78,40,2.24,scattered clouds
228,Broken Hill,AU,-31.95,141.43,69.8,28,90,9.17,overcast clouds
229,Alihe,CN,50.57,123.72,42.08,67,100,5.57,overcast clouds
230,Nogliki,RU,51.83,143.17,39.63,62,61,16.93,broken clouds
231,Nurota,UZ,40.56,65.69,48.2,45,0,4.7,clear sky
232,Acapulco,MX,16.86,-99.89,84.2,83,75,3.36,broken clouds
233,Gat,IL,31.61,34.76,71.6,78,15,4.7,few clouds
234,Riyadh,SA,24.69,46.72,62.6,29,0,4.7,clear sky
235,Mercedes,AR,-34.65,-59.43,62.01,95,100,11.01,moderate rain
236,Rimavska Sobota,SK,48.38,20.02,39.99,75,91,0.98,overcast clouds
237,Bengkulu,ID,-3.8,102.27,80.89,72,100,3.04,overcast clouds
238,Takhtamygda,RU,54.1,123.57,31.46,92,100,7.4,overcast clouds
239,La Ronge,CA,55.1,-105.28,26.6,58,90,4.7,overcast clouds
240,Sechura,PE,-5.56,-80.82,65.8,77,56,12.59,broken clouds
241,San Policarpo,PH,12.18,125.51,85.82,68,31,9.64,scattered clouds
242,Puerto Del Rosario,ES,28.5,-13.86,69.8,77,100,6.93,overcast clouds
243,Tucumcari,US,35.17,-103.72,66.2,29,1,6.93,clear sky
244,Maniitsoq,GL,65.42,-52.9,39.04,79,100,20.11,overcast clouds
245,Tuy Hoa,VN,13.08,109.3,80.58,84,100,4.14,light rain
246,Sinnamary,GF,5.38,-52.95,80.38,84,75,11.92,broken clouds
247,Itamaraju,BR,-17.04,-39.53,68.31,93,100,0.45,overcast clouds
248,Saint-Denis,FR,48.92,2.33,51.01,81,100,5.82,overcast clouds
249,Mecca,SA,21.43,39.83,76.8,18,0,7.16,clear sky
250,Tambura,SS,5.6,27.47,68.74,94,100,2.3,overcast clouds
251,Russkaya Polyana,UA,49.42,31.92,40.42,89,0,7.34,clear sky
252,Leninskoye,KZ,41.76,69.39,50.0,70,0,9.17,smoke
253,Ribas Do Rio Pardo,BR,-20.44,-53.76,71.65,89,48,6.15,scattered clouds
254,Aguilas,ES,37.41,-1.58,60.01,66,60,6.6,broken clouds
255,Matay,EG,28.42,30.78,69.91,79,0,13.31,clear sky
256,Georgetown,MY,5.41,100.34,82.4,83,20,4.7,few clouds
257,Sonoita,MX,31.85,-112.83,77.61,23,0,2.06,clear sky
258,Akdagmadeni,TR,39.66,35.88,50.65,88,100,2.91,overcast clouds
259,Itarema,BR,-2.92,-39.92,78.85,80,0,17.78,clear sky
260,Iwanai,JP,42.97,140.51,59.23,47,64,10.16,moderate rain
261,Riohacha,CO,11.54,-72.91,80.35,83,100,5.99,overcast clouds
262,Kuandian,CN,40.73,124.78,58.57,68,44,6.29,scattered clouds
263,Matagami,CA,49.75,-77.63,30.2,100,75,3.36,broken clouds
264,Berlevag,NO,70.86,29.09,38.68,76,100,16.33,overcast clouds
265,Port Moresby,PG,-9.44,147.18,89.6,62,40,11.41,haze
266,Blackwater,AU,-23.58,148.88,88.59,32,63,9.15,broken clouds
267,Mazamari,PE,-11.33,-74.53,72.3,73,78,1.86,broken clouds
268,Pontianak,ID,-0.03,109.33,89.42,60,1,1.23,clear sky
269,Dauphin,CA,51.15,-100.05,30.2,68,90,9.17,overcast clouds
270,Pitman,US,39.73,-75.13,60.01,95,100,6.46,overcast clouds
271,Subiaco,IT,41.93,13.09,52.0,74,29,2.91,scattered clouds
272,Labuhan,ID,-6.88,112.21,85.12,65,48,9.24,scattered clouds
273,Eyl,SO,7.98,49.82,78.82,82,0,1.7,clear sky
274,Rio Gallegos,AR,-51.62,-69.22,41.0,52,61,29.97,broken clouds
275,Sioux Lookout,CA,50.1,-91.92,28.4,79,40,4.7,scattered clouds
276,Muzhi,RU,65.37,64.67,15.66,97,69,1.14,broken clouds
277,Port Hedland,AU,-20.32,118.57,82.4,65,0,11.41,clear sky
278,Faya,SA,18.39,42.45,53.6,27,0,9.17,clear sky
279,Pehowa,IN,29.98,76.58,69.13,25,0,3.0,clear sky
280,Hami,CN,42.8,93.45,50.61,44,0,5.35,clear sky
281,Sancti Spiritus,CU,21.93,-79.44,74.03,84,84,6.67,moderate rain
282,Qaqortoq,GL,60.72,-46.03,33.8,88,100,3.36,overcast clouds
283,Nizwa,OM,22.93,57.53,69.96,23,0,4.68,clear sky
284,Newport,GB,51.59,-3.0,57.0,96,100,5.01,overcast clouds
285,Fortuna,US,40.6,-124.16,55.99,100,90,10.29,overcast clouds
286,Kumano,JP,34.34,132.59,68.0,51,20,8.05,few clouds
287,Grindavik,IS,63.84,-22.43,33.8,86,55,9.17,broken clouds
288,Porto Torres,IT,40.84,8.4,50.0,93,48,3.36,scattered clouds
289,Ahipara,NZ,-35.17,173.17,65.48,64,99,11.05,overcast clouds
290,Husavik,IS,66.04,-17.34,30.2,92,75,3.36,broken clouds
291,Sambava,MG,-14.27,50.17,73.89,73,80,12.24,broken clouds
292,Shitanjing,CN,39.23,106.34,53.96,35,31,20.89,scattered clouds
293,Labuan,MY,5.28,115.24,82.4,78,20,3.36,few clouds
294,Salinopolis,BR,-0.61,-47.36,80.69,82,14,12.48,few clouds
295,Puerto Quijarro,BO,-17.78,-57.77,74.5,91,100,5.7,light rain
296,Rocha,UY,-34.48,-54.33,61.14,92,89,12.59,overcast clouds
297,Las Vegas,US,36.17,-115.14,87.8,10,1,4.7,clear sky
298,Ust-Barguzin,RU,53.45,108.98,32.2,87,99,9.64,overcast clouds
299,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,44.6,48,75,8.95,broken clouds
300,Praia Da Vitoria,PT,38.73,-27.07,62.6,72,40,26.37,scattered clouds
301,Januaria,BR,-15.48,-44.37,73.42,74,99,6.11,light rain
302,Takoradi,GH,4.88,-1.76,76.78,89,86,7.81,light rain
303,Nipawin,CA,53.37,-104.0,23.0,62,20,4.7,few clouds
304,Perigueux,FR,45.18,0.72,57.0,79,100,10.76,overcast clouds
305,Kaitangata,NZ,-46.28,169.85,54.82,50,85,8.95,overcast clouds
306,Greenville,US,35.61,-77.37,69.8,77,40,3.36,scattered clouds
307,Necochea,AR,-38.55,-58.74,50.0,72,0,4.0,clear sky
308,Hualmay,PE,-11.1,-77.61,61.92,86,4,6.98,clear sky
309,Iqaluit,CA,63.75,-68.51,21.2,85,75,8.05,broken clouds
310,Cairns,AU,-16.92,145.77,87.01,54,6,8.05,clear sky
311,Nanortalik,GL,60.14,-45.24,35.78,91,100,6.78,overcast clouds
312,La Quinta,US,33.66,-116.31,96.8,27,1,5.82,clear sky
313,Alvand,IR,36.32,49.17,48.18,39,0,4.16,clear sky
314,Akyab,MM,20.15,92.9,81.77,79,65,9.28,broken clouds
315,Niono,ML,14.25,-5.99,80.35,26,0,2.08,clear sky
316,La Palma,US,33.85,-118.05,73.4,64,1,6.93,clear sky
317,Graaff-Reinet,ZA,-32.25,24.53,53.01,83,98,1.01,overcast clouds
318,Wanning,CN,18.8,110.4,77.34,87,92,16.28,overcast clouds
319,Nome,US,64.5,-165.41,39.0,93,90,4.7,overcast clouds
320,Cabra,ES,37.47,-4.44,68.0,45,100,8.05,overcast clouds
321,Tiquicheo,MX,18.88,-100.73,76.5,75,21,0.51,few clouds
322,Jaffna,LK,9.67,80.01,83.03,77,100,13.71,light rain
323,Palmer,US,42.16,-72.33,55.0,93,75,4.7,broken clouds
324,Leh,IN,34.17,77.58,37.78,49,0,6.04,clear sky
325,Aloleng,PH,16.13,119.78,85.01,70,100,7.92,overcast clouds
326,Bubaque,GW,11.28,-15.83,82.42,87,2,8.48,clear sky
327,Bhikhi,IN,30.07,75.53,69.33,24,0,0.34,clear sky
328,Teya,RU,60.38,92.63,27.12,95,100,7.07,light snow
329,Chingirlau,KZ,51.09,54.08,48.58,73,95,6.89,overcast clouds
330,Ngunguru,NZ,-35.62,174.5,66.97,64,100,13.4,overcast clouds
331,Noyabrsk,RU,63.2,75.45,27.9,99,52,4.56,broken clouds
332,Tawang,IN,27.58,91.87,58.68,43,0,2.06,clear sky
333,Alekseyevsk,RU,57.84,108.35,27.66,90,98,11.45,overcast clouds
334,Hasaki,JP,35.73,140.83,64.4,82,75,10.29,broken clouds
335,Monrovia,LR,6.3,-10.8,78.28,85,80,8.68,moderate rain
336,Ruwi,OM,23.6,58.55,75.2,57,0,4.7,clear sky
337,Iquitos,PE,-3.75,-73.25,80.6,83,98,5.82,overcast clouds
338,Albox,ES,37.39,-2.15,55.0,66,86,0.65,overcast clouds
339,Asfi,MA,32.3,-9.24,67.8,63,55,8.28,broken clouds
340,East London,ZA,-33.02,27.91,63.63,76,78,21.36,broken clouds
341,Baruun-Urt,MN,46.68,113.28,49.55,42,100,20.38,overcast clouds
342,Mokrous,RU,51.23,47.52,45.66,60,100,9.17,overcast clouds
343,Kondinskoye,RU,59.65,67.41,34.93,97,97,6.2,overcast clouds
344,Namibe,AO,-15.2,12.15,66.63,84,7,3.15,clear sky
345,Saint-Philippe,RE,-21.36,55.77,69.8,60,37,4.7,scattered clouds
346,Canto Do Buriti,BR,-8.11,-42.94,78.73,35,49,3.15,scattered clouds
347,Lambarene,GA,-0.7,10.24,74.5,95,100,1.95,light rain
348,Hit,IQ,33.64,42.83,69.64,25,0,6.29,clear sky
349,Atbasar,KZ,51.8,68.33,43.83,84,14,8.86,few clouds
350,Lorengau,PG,-2.02,147.27,86.04,64,100,4.32,overcast clouds
351,Troitskoye,RU,52.98,84.68,36.91,73,100,10.78,overcast clouds
352,Trat,TH,12.5,102.5,80.28,83,48,6.53,scattered clouds
353,Luanda,AO,-8.84,13.23,77.0,83,40,8.05,scattered clouds
354,Gambela,ET,8.25,34.58,69.21,80,11,3.24,few clouds
355,Pangai,TO,-19.8,-174.35,77.0,73,40,11.41,scattered clouds
356,Pedreiras,BR,-4.57,-44.6,77.94,78,4,5.79,clear sky
357,Banjarmasin,ID,-3.32,114.59,75.2,94,20,11.41,light rain
358,Simijaca,CO,5.5,-73.85,50.85,100,93,4.12,overcast clouds
359,Paredon,MX,16.03,-93.87,81.84,71,28,14.43,light rain
360,Lazaro Cardenas,MX,17.96,-102.2,80.89,86,29,4.03,scattered clouds
361,Kamskiye Polyany,RU,55.43,51.42,32.0,86,40,8.95,scattered clouds
362,Kondoa,TZ,-4.9,35.78,61.09,90,98,5.37,overcast clouds
363,Hamina,FI,60.57,27.2,33.8,82,90,9.17,overcast clouds
