City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Bethel,US,41.37,-73.41,62.01,96,91,4.76,overcast clouds
92,Hilo,US,19.73,-155.09,87.8,55,20,11.41,few clouds
93,Stromness,GB,58.97,-3.3,41.0,86,0,8.05,clear sky
94,General Roca,AR,-39.03,-67.58,82.4,37,0,5.82,clear sky
95,Berdigestyakh,RU,62.1,126.7,22.68,97,100,5.95,light snow
96,Torbay,CA,47.67,-52.73,39.99,86,40,2.24,scattered clouds
97,Homer,US,59.64,-151.55,45.0,70,90,6.06,overcast clouds
98,Sola,VU,-13.88,167.55,77.0,94,90,17.83,overcast clouds
99,Port Keats,AU,-14.25,129.55,83.64,73,31,7.65,scattered clouds
100,Pangnirtung,CA,66.15,-65.71,26.6,100,90,2.33,light snow
101,Ramnagar,IN,29.4,79.12,66.11,50,0,4.85,clear sky
102,Barela,IN,23.1,80.05,67.71,55,0,3.02,clear sky
103,Laguna,US,38.42,-121.42,79.0,15,1,4.7,clear sky
104,Rjukan,NO,59.88,8.59,42.01,92,100,1.01,overcast clouds
105,Upernavik,GL,72.79,-56.15,22.28,92,99,8.03,overcast clouds
106,Jingdezhen,CN,29.29,117.21,49.62,69,78,4.59,light rain
107,Banda Aceh,ID,5.56,95.32,80.74,74,100,6.02,light rain
108,Ribeira Grande,PT,38.52,-28.7,66.76,77,56,20.36,broken clouds
109,Kahului,US,20.89,-156.47,89.6,46,40,10.29,scattered clouds
110,Coihaique,CL,-45.58,-72.07,57.2,50,90,8.05,overcast clouds
111,Cabo San Lucas,MX,22.89,-109.91,91.4,62,5,11.41,clear sky
112,Sitarganj,IN,28.93,79.7,66.02,50,0,2.46,clear sky
113,Alibag,IN,18.64,72.88,84.2,89,40,3.0,haze
114,Bredasdorp,ZA,-34.53,20.04,64.4,93,29,1.36,scattered clouds
115,Banjar,ID,-8.19,114.97,78.8,83,40,2.24,scattered clouds
116,Twin Falls,US,42.35,-114.64,51.01,25,1,8.05,clear sky
117,Khuzhir,RU,53.19,107.34,39.33,74,36,1.21,scattered clouds
118,Constitucion,CL,-35.33,-72.42,56.28,66,0,14.03,clear sky
119,Moche,PE,-8.17,-79.01,63.99,78,97,6.15,overcast clouds
120,Toktogul,KG,41.87,72.94,40.8,68,82,1.36,broken clouds
121,Mahina,PF,-17.51,-149.49,84.2,66,75,13.87,broken clouds
122,Quatre Cocos,MU,-20.21,57.76,73.4,69,20,9.17,few clouds
123,Jiayuguan,CN,39.82,98.3,36.79,66,0,1.1,clear sky
124,Satka,RU,55.04,59.04,22.93,94,81,4.65,broken clouds
125,Ahipara,NZ,-35.17,173.17,68.07,69,55,6.06,broken clouds
126,Linden,GY,6.0,-58.3,84.2,79,20,6.93,few clouds
127,Souillac,MU,-20.52,57.52,73.4,69,20,9.17,few clouds
128,Bosaso,SO,11.28,49.18,80.01,45,85,3.53,overcast clouds
129,Agadez,NE,19.75,10.25,74.53,18,0,8.77,clear sky
130,Sao Filipe,CV,14.9,-24.5,80.42,77,20,13.22,few clouds
131,Katsuura,JP,35.13,140.3,62.6,55,75,17.22,broken clouds
132,Esperance,AU,-33.87,121.9,53.6,100,90,3.36,overcast clouds
133,Tubinskiy,RU,52.89,58.22,24.8,92,90,6.71,snow
134,Atlantis,ZA,-33.57,18.48,59.0,96,6,2.26,clear sky
135,Kapaa,US,22.08,-159.32,75.2,88,75,11.41,light rain
136,Takestan,IR,36.07,49.7,51.48,65,0,5.77,clear sky
137,Mount Gambier,AU,-37.83,140.77,51.8,76,90,14.99,overcast clouds
138,Carnarvon,AU,-24.87,113.63,68.0,77,0,12.75,clear sky
139,Namatanai,PG,-3.67,152.43,84.13,62,4,1.92,clear sky
140,Westport,US,41.14,-73.36,64.4,88,90,6.93,overcast clouds
141,Leua,SK,48.22,18.61,51.01,94,89,3.0,overcast clouds
142,Valdivia,CL,-39.81,-73.25,55.4,71,100,4.7,overcast clouds
143,Tasiilaq,GL,65.61,-37.64,33.8,59,100,3.36,overcast clouds
144,Roma,US,43.21,-75.46,78.8,50,1,11.41,clear sky
145,Pevek,RU,69.7,170.31,26.76,94,78,10.49,broken clouds
146,Kaitangata,NZ,-46.28,169.85,61.95,54,48,3.87,scattered clouds
147,Khatanga,RU,71.97,102.5,10.85,96,100,9.86,light snow
148,Hasaki,JP,35.73,140.83,57.2,82,75,5.82,broken clouds
149,Bathsheba,BB,13.22,-59.52,84.2,70,20,26.4,few clouds
150,Prachuap Khiri Khan,TH,12.22,99.75,69.93,85,100,2.46,overcast clouds
151,Khaga,IN,25.78,81.12,72.82,42,0,4.25,clear sky
152,Santiago Del Estero,AR,-27.8,-64.26,82.02,59,29,2.93,scattered clouds
153,Atar,MR,20.52,-13.05,88.27,24,96,9.93,overcast clouds
154,Chapais,CA,49.78,-74.85,33.8,100,90,8.05,mist
155,Ocos,GT,14.51,-92.19,87.8,84,40,8.05,scattered clouds
156,Makakilo City,US,21.35,-158.09,80.6,78,75,10.29,broken clouds
157,Krasnaya Gora,RU,53.0,31.6,53.6,87,0,11.18,clear sky
158,Plettenberg Bay,ZA,-34.05,23.37,64.44,87,53,6.91,broken clouds
159,Haines Junction,CA,60.75,-137.51,24.4,78,95,2.33,overcast clouds
160,Along,IN,28.17,94.77,65.89,89,100,0.4,light rain
161,Yulara,AU,-25.24,130.99,59.0,72,5,10.29,clear sky
162,Biak,ID,-0.91,122.88,77.4,80,6,1.57,clear sky
163,Lebu,CL,-37.62,-73.65,54.59,78,100,1.36,overcast clouds
164,Mar Del Plata,AR,-38.0,-57.56,60.8,87,40,8.05,scattered clouds
165,Thompson,CA,55.74,-97.86,24.8,58,90,13.87,light snow
166,Uddevalla,SE,58.35,11.94,46.99,93,65,4.7,light rain
167,Brownwood,US,31.71,-98.99,48.2,70,90,18.99,overcast clouds
168,Victoria,HK,22.29,114.16,73.99,46,100,16.67,overcast clouds
169,Sompeta,IN,18.93,84.6,78.3,71,98,4.41,overcast clouds
170,Airai,TL,-8.93,125.41,63.79,100,33,0.49,scattered clouds
171,Roald,NO,62.58,6.13,41.0,60,100,11.41,overcast clouds
172,Tuktoyaktuk,CA,69.45,-133.04,24.8,92,90,9.17,overcast clouds
173,Severo-Kurilsk,RU,50.68,156.12,44.47,81,100,32.59,light rain
174,Pochutla,MX,15.74,-96.47,87.8,66,40,6.04,scattered clouds
175,Guerrero Negro,MX,27.98,-114.06,73.27,59,52,15.1,broken clouds
176,Jamestown,US,42.1,-79.24,75.2,47,40,14.99,scattered clouds
177,Port Macquarie,AU,-31.43,152.92,66.99,99,100,8.63,light rain
178,Balkanabat,TM,39.51,54.37,51.94,73,1,2.13,clear sky
179,Nanchang,CN,28.68,115.88,54.63,63,74,6.08,broken clouds
180,Morehead,US,37.27,-87.18,75.2,68,40,5.21,scattered clouds
181,George Town,MY,5.41,100.34,78.8,94,20,3.51,moderate rain
182,Wairoa,NZ,-39.03,177.37,73.0,59,17,5.01,few clouds
183,Klaksvik,FO,62.23,-6.59,42.8,93,3,4.7,clear sky
184,Nanortalik,GL,60.14,-45.24,34.21,87,98,5.77,overcast clouds
