City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
295,Mareeba,AU,78.01,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
296,Dinajpur,BD,73.06,overcast clouds,25.63,88.64,Hotel Sahara
301,Maneadero,MX,73.0,broken clouds,31.72,-116.57,Casa De Thompson
302,Hervey Bay,AU,79.0,broken clouds,-25.3,152.85,Shelly Bay Resort
303,San Juan,AR,88.56,clear sky,-31.54,-68.54,Hotel Provincial
307,Ewa Beach,US,80.6,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
308,Markala,ML,84.42,few clouds,13.7,-6.07,Yaya Hôtel
315,Deming,US,82.4,clear sky,32.27,-107.76,Best Western Deming Southwest Inn
320,Ishigaki,JP,71.6,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
326,Manadhoo,MV,81.3,light rain,5.77,73.38,Vevu Guesthouse
328,Cukai,MY,77.0,moderate rain,4.25,103.42,OYO 90038 Dalyla Inn Chalet
330,San Rafael,AR,83.95,clear sky,-34.62,-68.33,Hotel San Rafael
333,Acapulco,MX,87.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
335,Luwuk,ID,78.26,clear sky,-0.95,122.79,Hotel Santika Luwuk
342,Sur,OM,74.95,clear sky,22.57,59.53,Sur Plaza Hotel
343,Matara,LK,77.23,clear sky,5.95,80.54,Amaloh Boutique Resort
344,Faanui,PF,78.85,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
346,Namibe,AO,70.66,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
348,Half Moon Bay,US,71.6,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
349,Kavaratti,IN,80.15,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
350,San Luis,AR,77.67,overcast clouds,-33.3,-66.34,Huarpes Hotel
352,Uruacu,BR,78.35,broken clouds,-14.52,-49.14,Super Pesca iscas vivas
354,Bull Savanna,JM,77.13,light rain,17.89,-77.59,Big Red's
357,Loanda,AO,77.0,scattered clouds,-8.84,13.23,EPIC SANA Luanda
358,Sao Jose Da Coroa Grande,BR,77.41,light rain,-8.9,-35.15,Crôa Mares Hotel
359,Dingle,PH,76.44,light rain,11.0,122.67,Camp Pasica
360,Lubao,PH,75.2,broken clouds,14.92,120.55,Hacienda Gracia
367,Bowen,AU,73.4,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
372,Hamilton,US,77.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
375,Ipameri,BR,71.58,moderate rain,-17.72,-48.16,Real Hotel
381,Ixtapa,MX,88.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
387,Porbandar,IN,81.01,clear sky,21.64,69.61,Lords Inn Porbandar
395,Sain Alto,MX,77.5,few clouds,23.58,-103.25,Hotel Barraza
399,Marsh Harbour,BS,79.38,scattered clouds,26.54,-77.06,Abaco Beach Resort
400,Vao,NC,73.65,clear sky,-22.67,167.48,Hotel Kou-Bugny
402,Carutapera,BR,77.88,overcast clouds,-1.2,-46.02,Lidera
